Sector;Grupo;Sendero;Distancia (m);Parcela;Árbol;Especie;DAP (cm);HT (m);HC (m);LD; AB (m2)
III;9;23;190;3;13;Roble;9.5;7.1374;4.4958;0;0.0071
III;9;23;190;3;14;Cachito;7.5;4.6228;;0;0.0044
III;9;23;190;3;15;Roble;12.5;8.1026;4.445;0;0.0123
III;9;23;190;3;16;Pichota;10;6.096;;0;0.0079
III;9;23;190;3;17;Roble;12.2;1.5;1.5;0;0.0117
III;9;23;190;3;18;Roble;8.5;8.0772;4.9403;1;0.0057
III;9;23;190;3;19;Roble;12.5;8.0772;3.0734;0;0.0123
III;9;23;190;3;20;Roble;13.7;7.239;3.9116;0;0.0147
III;9;23;190;3;21;Roble;8.3;7.239;4.0894;0;0.0054
III;9;23;190;3;22;Roble;5.6;7.239;3.6322;0;0.0025
III;9;23;190;3;23;Cachito;5.5;4.9022;;0;0.0024
III;9;23;200;4;1;Roble;8.6;7.239;4.1148;0;0.0058
III;9;23;200;4;2;Roble;7.2;7.8232;4.1148;0;0.0041
III;9;23;200;4;3;Roble;8;8.8646;5.9182;0;0.0050
III;9;23;200;4;4;Roble;8.4;6.604;3.0226;0;0.0055
III;9;23;200;4;5;Roble;8.5;7.5692;5.8166;0;0.0057
III;9;23;200;4;6;Roble;9.7;8.9408;5.2324;0;0.0074
III;9;23;200;4;7;Roble;7;7.5692;5.334;0;0.0038
III;9;23;200;4;8;Roble;13.2;8.9154;4.6736;0;0.0137
III;9;23;200;4;9;Roble;6.6;6.5786;2.3114;0;0.0034
III;9;23;200;4;10;Roble;7.4;6.5786;4.6736;0;0.0043
III;9;23;200;4;11;Roble;14;9.0932;4.6228;0;0.0154
III;9;23;200;4;12;Roble;12;9.0932;5.0292;0;0.0113
III;9;23;200;4;13;Roble;9.2;8.1534;1.905;0;0.0066
III;9;23;200;4;14;Roble;7.5;6.7818;2.8194;0;0.0044
III;9;23;200;4;15;Roble;7;8.1534;5.6388;0;0.0038
III;9;23;200;4;16;Roble;14;9.271;2.0828;0;0.0154
III;9;23;200;4;17;Roble;8;3.048;1.5;0;0.0050
III;9;23;200;4;18;Roble;9;9.0424;5.1054;0;0.0064
III;9;23;200;4;19;Roble;14;8.9408;4.0894;1;0.0154
III;9;23;200;4;20;Roble;10.3;8.9408;5.8674;0;0.0083
III;9;23;200;4;21;Roble;7;8.128;5.3848;0;0.0038
III;9;23;200;4;22;Roble;8;7.2644;4.699;0;0.0050
III;9;23;210;5;1;Roble;17;9.4742;5.1816;1;0.0227
III;9;23;210;5;2;Roble;8;7.8232;5.2197;0;0.0050
III;9;23;210;5;3;Roble;7;5.1816;3.048;0;0.0038
III;9;23;210;5;4;Roble;12.1;8.6995;3.8862;0;0.0115
III;9;23;210;5;5;Roble;9.7;7.7724;;0;0.0074
III;9;23;210;5;6;Roble;10.2;8.9535;3.9243;0;0.0082
III;9;23;210;5;7;Roble;8;8.2931;3.7719;0;0.0050
III;9;23;210;5;8;Roble;11;8.1026;1.8288;0;0.0095
III;9;23;210;5;9;Roble;6.2;5.4483;2.3241;0;0.0030
III;9;23;210;5;10;Roble;12;8.3439;3.1369;0;0.0113
III;9;23;210;5;11;Indio Desnudo  ;7;6.5405;;0;0.0038
III;9;23;210;5;12;Roble;7;8.1534;3.1115;0;0.0038
III;9;23;210;5;13;Roble;12;8.1534;2.1717;0;0.0113
III;9;23;210;5;14;Roble;6;8.5344;3.6957;0;0.0028
III;9;23;210;5;15;Roble;6.6;7.4168;2.1717;0;0.0034
III;9;23;210;5;16;Roble;10.8;9.2583;3.2639;0;0.0092
III;9;23;210;5;17;Roble;7.5;9.5631;3.2258;0;0.0044
III;9;23;210;5;18;Roble;9.5;9.5631;5.3467;0;0.0071
III;9;23;210;5;19;Roble;8.5;9.5631;2.6543;0;0.0057
III;9;23;210;5;20;Roble;12.6;10.4013;5.0165;0;0.0125
III;9;23;210;5;21;Roble;5.7;5.5753;1.8288;0;0.0026
III;9;23;210;5;22;Roble;12.5;10.8966;3.0734;1;0.0123
III;9;23;210;5;23;Roble;7;7.9248;3.4925;0;0.0038
III;9;23;210;5;24;Roble;12;9.144;3.0861;0;0.0113
III;9;23;210;5;25;Roble;7.2;8.0391;4.6355;0;0.0041
III;9;23;210;5;26;Roble;9.2;9.0932;2.9845;0;0.0066
III;9;23;210;5;27;Acacia;5.6;5.6134;;0;0.0025
III;9;23;210;5;28;Roble;5.5;4.572;2.4638;0;0.0024
III;10;25;130;1;1;Roble;11.8;9.5377;5.3594;0;0.0109
III;10;25;130;1;2;Roble;8.3;6.1595;2.1971;0;0.0054
III;10;25;130;1;3;Roble;12.4;9.4869;4.8768;0;0.0121
III;10;25;130;1;4;Roble;19.5;12.1793;3.683;0;0.0299
III;10;25;130;1;5;Roble;19.8;11.1506;4.7879;0;0.0308
III;10;25;130;1;6;Roble;25.7;11.4808;5.0546;1;0.0519
III;10;25;130;1;7;Acacia;8.7;7.5311;;0;0.0059
III;10;25;130;1;8;Roble;6.5;3.8354;2.4765;0;0.0033
III;10;25;130;1;9;Acacia;9.4;7.7343;;0;0.0069
III;10;25;130;1;10;Roble;6.9;6.477;4.572;0;0.0037
III;10;25;130;1;11;Roble;6;4.4831;2.9845;0;0.0028
III;10;25;130;1;12;Carbón;6.3;2.8448;;0;0.0031
III;10;25;130;1;13;Roble;5.2;4.2037;2.2225;0;0.0021
III;10;25;140;2;1;Indio Desnudo  ;6.3;5.4229;;0;0.0031
III;10;25;140;2;2;Roble;22;10.8585;2.6813;0;0.0380
III;10;25;140;2;3;Roble;27;12.3571;6.0579;1;0.0573
III;10;25;140;2;4;Indio Desnudo  ;10.5;9.3091;;0;0.0087
III;10;25;140;2;5;Roble;21.9;12.065;5.5499;0;0.0377
III;10;25;140;2;6;Roble;14.7;12.2428;3.9868;0;0.0170
III;10;25;140;2;7;Pichota;14.7;10.6823;;0;0.0170
III;10;25;140;2;8;Indio Desnudo  ;5.6;3.3909;;0;0.0025
III;10;25;150;3;1;Carbon blanco;12;9.5631;;0;0.0113
III;10;25;150;3;2;Roble;29;11.3284;4.7117;0;0.0661
III;10;25;150;3;3;Roble;6.4;5.7023;3.429;0;0.0032
III;10;25;150;3;4;Roble;6.5;7.9756;5.8039;0;0.0033
III;10;25;150;3;5;Roble;9.5;7.8613;3.7592;0;0.0071
III;10;25;150;3;6;Indio Desnudo  ;7.4;6.5405;;0;0.0043
III;10;25;150;3;7;Roble;31.7;12.9286;5.334;1;0.0789
III;10;26;0;4;1;Carbón;19.5;5.9817;;0;0.0299
III;10;26;0;4;2;Carbón;9.2;2.8956;;0;0.0066
III;10;26;0;4;3;Indio Desnudo  ;6.4;5.2451;;0;0.0032
III;10;26;0;4;4;Indio Desnudo  ;6.8;4.7752;;0;0.0036
III;10;26;0;4;5;Roble;9.3;5.5626;2.2733;1;0.0068
III;10;26;0;4;6;Roble;8.3;5.3467;2.7051;0;0.0054
III;10;26;0;4;7;Roble;5.7;5.1816;2.0828;0;0.0026
III;10;26;0;4;8;Roble;7.2;4.9784;3.0099;0;0.0041
III;10;26;0;4;9;Indio Desnudo  ;5.6;4.7879;;0;0.0025
III;10;26;0;4;10;Molinillo;7.3;4.7879;;0;0.0042
III;10;26;10;5;1;Indio Desnudo  ;7;5.8674;;0;0.0038
III;10;26;10;5;2;Indio Desnudo  ;5.4;5.8674;;0;0.0023
III;10;26;10;5;3;Molinillo;11.2;5.4864;;0;0.0099
III;10;26;10;5;4;Encino;7.7;4.4567;;0;0.0047
III;10;26;10;5;5;Encino;9.7;5.8928;;0;0.0074
III;10;26;10;5;6;Molinillo;6;5.4483;;0;0.0028
III;10;26;10;5;7;Encino;7.5;4.0894;1.8288;0;0.0044
III;10;26;10;5;8;Encino;6.3;5.1689;;0;0.0031
III;10;26;10;5;9;Encino;9.5;5.6261;3.048;0;0.0071
III;10;26;10;5;10;Carbón;8;5.2451;;0;0.0050
III;10;26;10;5;11;Carbón;5.3;3.2131;;0;0.0022
III;10;26;10;5;12;Encino;9.5;6.6421;2.1336;1;0.0071
III;10;26;10;5;13;Molinillo;9.5;4.4704;;0;0.0071
